

The Unforgiven                                    |     Os Imperdoáveis
                                                  |     
New blood joins this earth                        |     Sangue novo se junta a esta terra
And quickly he's subdued                          |     E rapidamente ele é subjugado
Through constant pained disgrace                  |     Atravessando constante e dolorosa desgraça
The young boy learns their rules                  |     O jovem garoto aprende suas regras
                                                  |     
With time the child draws in                      |     Com o tempo a criança é enganada
This whipping boy done wrong                      |     Este rapaz subjugado fez errado
Deprived of all his thoughts                      |     Desprovido de todos os seus pensamentos
The young man struggles on and on he's known      |     O jovem homem aguenta e aguenta, ele sabe
A vow unto his own                                |     Um juramento para si mesmo
That never from this day                          |     Que nunca a partir deste dia
His will they'll take away                        |     Eles vão tirar o seu desejo
                                                  |     
What I've felt                                    |     O que eu senti
What I've known                                   |     O que eu soube
Never shined through in what I've shown           |     Nunca transpareceu no que eu mostrei
Never be                                          |     Nunca ser
Never see                                         |     Nunca ver
Won't see what might have been                    |     Não verei o que poderia ter sido
                                                  |     
What I've felt                                    |     O que eu senti
What I've known                                   |     O que eu soube
Never shined through in what I've shown           |     Nunca transpareceu no que eu mostrei
Never free                                        |     Nunca livre
Never me                                          |     Nunca eu mesmo
So I dub the unforgiven                           |     Então eu os nomeio imperdoáveis
                                                  |     
They dedicate their lives                         |     Eles dedicaram suas vidas
To running all of his                             |     A tomar tudo deles
He tries to please them all                       |     Ele tenta satisfazer a todos
This bitter man he is                             |     Este homem amargo ele se torna
Throughout his life the same                      |     Por toda a sua vida o mesmo
He's battled constantly                           |     Ele lutou constantemente
This fight he cannot win                          |     Esta luta ele não pode vencer
A tired man they see no longer cares              |     Um homem cansado eles vêem, não importa mais
The old man then prepares                         |     O velho homem então se prepara
To die regretfully                                |     Para morrer cheio de arrependimentos
That old man here is me                           |     Este velho homem aqui sou eu
                                                  |     
What I've felt                                    |     O que eu senti
What I've known                                   |     O que eu soube
Never shined through in what I've shown           |     Nunca apareceram no que eu mostrei
Never be                                          |     Nunca ser
Never see                                         |     Nunca ver
Won't see what might have been                    |     Não ver o que poderia ter sido
                                                  |     
What I've felt                                    |     O que eu senti
What I've known                                   |     O que eu soube
Never shined through in what I've shown           |     Nunca apareceram no que eu mostrei
Never free                                        |     Nunca livre
Never me                                          |     Nunca eu mesmo
So I dub the unforgiven                           |     Então eu os nomeio imperdoáveis
                                                  |     
What I've felt                                    |     O que eu senti
What I've known                                   |     O que eu soube
Never shined through in what I've shown           |     Nunca apareceram no que eu mostrei
Never be                                          |     Nunca ser
Never see                                         |     Nunca ver
Won't see what might have been                    |     Não ver o que poderia ter sido
                                                  |     
What I've felt                                    |     O que eu senti
What I've known                                   |     O que eu soube
Never shined through in what I've shown           |     Nunca apareceram no que eu mostrei
Never free                                        |     Nunca livre
Never me                                          |     Nunca eu mesmo
So I dub the unforgiven                           |     Então eu os nomeio imperdoáveis
                                                  |     
Never free                                        |     Nunca livre
Never me                                          |     Nunca eu mesmo
So I dub the unforgiven                           |     Então eu os nomeio imperdoáveis
                                                  |     
You labeled me                                    |     Vocês me rotularam
I'll label you                                    |     Eu rotularei vocês
So I dub the unforgiven                           |     Então eu os nomeio imperdoáveis
                                                  |     
Never free                                        |     Nunca livre
Never me                                          |     Nunca eu mesmo
So I dub the unforgiven                           |     Então eu os nomeio imperdoáveis
                                                  |     
You labeled me                                    |     Vocês me rotularam
I'll label you                                    |     Eu rotularei vocês
So I dub the unforgiven                           |     Então eu os nomeio imperdoáveis


